feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T34	X2	X2	-0.000744162311513645	0.000319684795128506	107	63	0.0218973801262971	0.417175156139914
T44	E1	CRC	0.0123931962796682	0.00531626600133784	107	28	0.0217107417019828	0.417175156139914
T230	X2	X2	-0.000183172831454527	7.8822304212255e-05	107	23	0.0221158704426852	0.417175156139914
T60	E1	CRC	-0.00285348344893877	0.00124877325037646	107	72	0.0243811182849877	0.433337388170432
T72	X3	X3	0.000182325159739409	7.9546407175667e-05	107	13	0.0239565345691644	0.433337388170432
T272	X2	X2	1.96165201045093e-05	8.57602003064381e-06	107	3	0.0242391157531664	0.433337388170432
T274	E1	CRC	0.000844624505181216	0.000369409575027341	107	5	0.0242967689077944	0.433337388170432
T296	E1	CRC	0.0013022469995928	0.000570077847259436	107	13	0.0244235916323737	0.433337388170432
T370	E1	CRC	0.000841070399167434	0.000366562686571275	107	4	0.0238119831714073	0.433337388170432
T88	X3	X3	0.000238874281679729	0.000104917580909942	107	30	0.0248876785532278	0.436787753525582
T190	X3	X3	0.000137377650235321	6.04315279775903e-05	107	15	0.0251055461010798	0.436787753525582
T293	X1	male	-0.00958386513134177	0.00422775956909849	107	10	0.0255072150393058	0.439508936061885
T32	X1	male	-0.0246722381520438	0.0111963898198814	107	94	0.0298023636439041	0.445048630415634
T33	E1	CRC	0.00496148749701027	0.00225091313106637	107	4	0.02975724099233	0.445048630415634
T58	E1	CRC	-0.00265780456779266	0.00119742756836194	107	79	0.028660532739157	0.445048630415634
T83	X1	male	-0.00992639773499374	0.00450138784744262	107	56	0.0296866601747412	0.445048630415634
T96	E1	CRC	-0.0549390649405504	0.0248702692896112	107	46	0.0294101377595661	0.445048630415634
T119	X2	X2	-0.000813483008562092	0.000368526789243462	107	69	0.0295275339712457	0.445048630415634
T121	X3	X3	0.00109382061315356	0.00049168485870952	107	30	0.0283088459508013	0.445048630415634
T141	X2	X2	-0.00102836093840999	0.000464292474021591	107	21	0.0289915120407266	0.445048630415634
T147	X3	X3	0.000447979218507507	0.000201118387848572	107	73	0.0281149944281206	0.445048630415634
T242	X2	X2	-0.00024022024622853	0.000106740452713903	107	11	0.0265631747629298	0.445048630415634
T301	X2	X2	-0.000536471973339745	0.000240676736799435	107	22	0.0280066222246874	0.445048630415634
T317	X2	X2	-8.1008591024688e-05	3.60637809322178e-05	107	6	0.0268432495458925	0.445048630415634
T320	E1	CRC	-0.00111101013022173	0.000503227355964968	107	7	0.0295003423662243	0.445048630415634
T325	E1	CRC	0.000871830782928755	0.000391597968104994	107	5	0.0281908624253885	0.445048630415634
T336	X2	X2	2.7961826192087e-05	1.24710742941154e-05	107	4	0.0271175803143397	0.445048630415634
T422	X2	X2	-1.40108254214505e-05	6.22948476182519e-06	107	2	0.0266547352622978	0.445048630415634
T86	X2	X2	0.00462448856624686	0.00210641550321485	107	100	0.0303994640691944	0.450213550512366
T409	X2	X2	-3.06751638880929e-05	1.39989535816352e-05	107	3	0.0307096720381428	0.45107977288813
T413	E1	CRC	0.00811102417674615	0.00371426695820225	107	5	0.0312726099370238	0.455613959407696
T52	X1	male	-0.0215627827716586	0.00991738284923325	107	92	0.0319992277371415	0.458930601066191
T63	E1	CRC	0.0045891006523504	0.00214289406672606	107	53	0.0346115286792198	0.458930601066191
T94	X2	X2	-0.00024652097982403	0.00011524812587011	107	90	0.0348184896337399	0.458930601066191
T118	E1	CRC	0.0363463070476875	0.0167859820313126	107	76	0.0326977348389226	0.458930601066191
T150	X1	male	-0.0311771390461855	0.0145577489137256	107	69	0.0346053536168228	0.458930601066191
T153	X2	X2	-0.000269097085415121	0.000125201781861431	107	43	0.0339750763964514	0.458930601066191
