feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T201	X1	male	0.0100547052613478	0.00413212713461361	157	56	0.0161537338132857	0.362777829252586
T366	X3	X3	0.000103030361509254	4.25444880536532e-05	157	9	0.0166573359108875	0.369634215927313
T61	E1	CRC	-0.0279090501437924	0.011622075384924	157	137	0.0175741369433843	0.371325695839174
T151	X2	X2	-6.70628573733372e-05	2.81141568351883e-05	157	67	0.018327233914809	0.371325695839174
T155	E1	CRC	0.0257666439710433	0.0107534753566579	157	106	0.0178185560182015	0.371325695839174
T163	X3	X3	-0.00144332581778438	0.000602445435208675	157	99	0.0178346436519149	0.371325695839174
T172	E1	CRC	0.00475286502402292	0.00198066057735301	157	94	0.0176549513103671	0.371325695839174
T220	X3	X3	0.000385516156001826	0.000161591764993317	157	34	0.0183097683457286	0.371325695839174
T226	E1	CRC	-0.00153453397041525	0.000641396964514822	157	5	0.0179892303007921	0.371325695839174
T291	E1	CRC	-0.00537896096135414	0.00224161136307161	157	16	0.0176568346934537	0.371325695839174
T256	X1	male	-0.00105328688017098	0.000443182176058715	157	13	0.018749972905867	0.375805908564904
T176	X2	X2	0.00119704463532417	0.000505158755021893	157	103	0.0190953283925589	0.378656299188615
T52	X2	X2	-0.000868640702444953	0.000369507685120927	157	131	0.0200519363050461	0.393440097606377
T55	E1	CRC	-0.00470342073319573	0.00200872975429468	157	95	0.0205404892267732	0.394444613889343
T211	X3	X3	0.000160207989036669	6.86151611059757e-05	157	23	0.0208936265289187	0.394444613889343
T356	E1	CRC	0.00409394525514377	0.00175416804110518	157	17	0.0209495798149383	0.394444613889343
T484	E1	CRC	0.00259811824369355	0.00110800925289713	157	6	0.0203629490449119	0.394444613889343
T96	X1	male	-0.0224823736483877	0.00966702229460634	157	48	0.0213938335030797	0.398781056497406
T12	X2	X2	0.000608178118480209	0.000263402156538462	157	129	0.0223312470048828	0.403662326908086
T250	E1	CRC	-0.00527859248171325	0.00229039938719042	157	11	0.0225762065499307	0.403662326908086
T307	X2	X2	-5.9477351819081e-05	2.57349293096367e-05	157	2	0.0222049733929419	0.403662326908086
T392	E1	CRC	0.000912788333474215	0.000396026089191494	157	6	0.0225641763182251	0.403662326908086
T468	X2	X2	1.35022235569037e-05	5.86580990795325e-06	157	3	0.0227384894449298	0.403662326908086
T157	E1	CRC	-0.024803229124042	0.010798552600575	157	55	0.0230268908060691	0.404925702476536
T13	E1	CRC	-0.0213104142548582	0.0093304936538609	157	141	0.0237968481756561	0.412909749762759
T389	E1	CRC	-0.00870198275787338	0.00381356271387324	157	12	0.0239239554583573	0.412909749762759
T2	X3	X3	0.00319669248674958	0.00140797458127008	157	142	0.0246255995655595	0.421120344864247
T23	X3	X3	0.00291044715741175	0.00128425833519179	157	54	0.0248860898426638	0.421706104242957
T148	X2	X2	0.000532535480886193	0.000237790017598541	157	52	0.0266128928952333	0.446904796006441
T263	X2	X2	-3.80745244374611e-05	1.72256792047564e-05	157	8	0.028616988030923	0.46690224719284
T270	X3	X3	0.000241818481930641	0.000109256113430312	157	20	0.028406329770723	0.46690224719284
T301	E1	CRC	0.0109476297494961	0.00495888414158416	157	47	0.0288056643922621	0.46690224719284
T453	X2	X2	-1.58157025616072e-05	7.13537140354023e-06	157	4	0.0281815532992203	0.46690224719284
T34	X2	X2	-0.000445392751942317	0.000203468337068555	157	125	0.0301637517391046	0.469586236266972
T143	X2	X2	7.87026630828475e-05	3.61130654192062e-05	157	69	0.0308879005181621	0.469586236266972
T194	E1	CRC	0.03086828617046	0.0142073709503894	157	76	0.0313946390392227	0.469586236266972
T212	X2	X2	5.10399834660838e-05	2.32499507747344e-05	157	44	0.0297017686187306	0.469586236266972
T262	E1	CRC	-0.000921116966105277	0.000418600173114522	157	8	0.0293235252416259	0.469586236266972
T292	E1	CRC	0.000736588292662059	0.000335782390537767	157	7	0.0298209060810587	0.469586236266972
T308	X3	X3	0.000516258911593249	0.000237724675683981	157	13	0.0314736572642159	0.469586236266972
T334	X3	X3	0.00020827456548629	9.56476645047808e-05	157	6	0.0310261163157449	0.469586236266972
T368	X2	X2	2.85811855381374e-05	1.31622665367919e-05	157	6	0.0314904933118946	0.469586236266972
T437	E1	CRC	0.00676081598994531	0.00309858364903978	157	9	0.0306942215845454	0.469586236266972
T19	X2	X2	-0.000841088462211205	0.000388375748721295	157	51	0.0319392192576611	0.472497656319684
T37	X3	X3	0.0010596280543665	0.000490760495791503	157	14	0.03244947437838	0.47522080516366
T135	X3	X3	-0.000656314044174282	0.000304789314474574	157	89	0.0329120928566384	0.47522080516366
T193	X3	X3	0.000245290402751262	0.000113789331929951	157	22	0.032727190388202	0.47522080516366
T392	X3	X3	-0.000101648444900554	4.72682757479847e-05	157	6	0.0331430819051909	0.47522080516366
T4	E1	CRC	0.0489358642331936	0.0228428006572465	157	157	0.033806274225622	0.481029734019538
T390	E1	CRC	0.000619029262533264	0.000290393650119517	157	9	0.0346836532500594	0.489775224682657
T16	X2	X2	-0.00148556847697043	0.000699300356725463	157	51	0.0353015729521429	0.490773859529914
T126	E1	CRC	-0.00154300712041996	0.000727313093042153	157	14	0.0355442441183146	0.490773859529914
T401	X2	X2	0.000195059848649384	9.18054588484479e-05	157	21	0.0352722926210228	0.490773859529914
T265	X1	male	-0.00179714789868579	0.000848379329157406	157	11	0.0358175588876139	0.490911248283179
